14703|*|*|*|29407|*|*|*|29408|*|*|*|"How do I upload my profile picture on Quora?"|*|*|*|"How do you add a profile picture on Quora?"|*|*|*|1
12911|*|*|*|25823|*|*|*|25824|*|*|*|"Is it profitable to purchase a car and attach it with Ola Cabs, Uber or TaxiForSure in chennai?"|*|*|*|"Is it profitable to purchase a car and attach it with Ola Cabs, Uber or TaxiForSure in Delhi?"|*|*|*|0
1259|*|*|*|2519|*|*|*|2520|*|*|*|"In what order would you rank the seven Harry Potter novels? Why?"|*|*|*|"What do reviewers consider the best Harry Potter books in rank order?"|*|*|*|1
13838|*|*|*|27677|*|*|*|27678|*|*|*|"Where can I find the best quality cupcakes in Gold Coast?"|*|*|*|"Where can I get an unique taste for cupcakes in Gold Coast?"|*|*|*|1
28655|*|*|*|57311|*|*|*|57312|*|*|*|"What are the best mobile phones technology gadgets?"|*|*|*|"What are some of the best mobile technology gadgets?"|*|*|*|1
4637|*|*|*|9275|*|*|*|9276|*|*|*|"Why choose dual citizenship over Israeli-only citizenship upon aliyah?"|*|*|*|"Why choose dual citizenship over Israeli only citizenship upon aliyah?"|*|*|*|1
15535|*|*|*|31071|*|*|*|31072|*|*|*|"Why India can't ban Chinese products?"|*|*|*|"Can India ban Chinese manufactured goods?"|*|*|*|1
4919|*|*|*|9839|*|*|*|9840|*|*|*|"Does Mahindra holidays membership ensure bookings at their properties during vacation period?"|*|*|*|"Where can I get best holiday packages deal for my vacation?"|*|*|*|0
22914|*|*|*|45829|*|*|*|45830|*|*|*|"How do I get a job in a product based company?"|*|*|*|"How do I get a job in product based IT companies?"|*|*|*|0
28150|*|*|*|56301|*|*|*|56302|*|*|*|"How much does a full sleeve tattoo ( from wrist to shoulder ) cost?"|*|*|*|"How much would a tattoo like this cost?"|*|*|*|0
16266|*|*|*|32533|*|*|*|32534|*|*|*|"How can I download episode videos from voot app?"|*|*|*|"What should be the the bitrate for the 720p for downloading the episode from the VOOT?"|*|*|*|0
13488|*|*|*|26977|*|*|*|26978|*|*|*|"When will state merit rank coming out for neet?"|*|*|*|"I have scored 478 in NEET 2016. My gen rank is 11969 and my OBC rank is 4285. Can I expect any college under state quota? I am from Bihar."|*|*|*|0
28385|*|*|*|56771|*|*|*|56772|*|*|*|"What does it mean to be free to make your own choices?"|*|*|*|"Have you ever changed a deeply held opinion?"|*|*|*|0
21073|*|*|*|42147|*|*|*|42148|*|*|*|"What is this years DU cut off?"|*|*|*|"What is the expected cut off of DU this year?"|*|*|*|1
23104|*|*|*|46209|*|*|*|46210|*|*|*|"Can I make it to the IITs ?"|*|*|*|"Can I make it into IITs?"|*|*|*|1
38600|*|*|*|77201|*|*|*|77202|*|*|*|"Is a photon truly a wave and a particle?"|*|*|*|"What if everything is a wave, and there are no particles?"|*|*|*|0
15937|*|*|*|31875|*|*|*|31876|*|*|*|"What shoul I do if I want to forget someone?"|*|*|*|"How do you forget about someone?"|*|*|*|1
34073|*|*|*|68147|*|*|*|68148|*|*|*|"What is the best digital marketing course online for a beginner?"|*|*|*|"Is NIIT Delhi good for a digital marketing course?"|*|*|*|1
11246|*|*|*|22493|*|*|*|22494|*|*|*|"What is the meaning of Christmas?"|*|*|*|"What is the meaning of Christmas for you?"|*|*|*|1
2831|*|*|*|5663|*|*|*|5664|*|*|*|"How Google helps in spam ranking adjustment of the search results?"|*|*|*|"What is the distribution of traffic between Google organic search results? e.g. #1 vs. #2 in rankings, first page vs. second page"|*|*|*|0
